Creation date of BOM:;26/08/2021 12:42:46;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Design name:;ADC418AI12;;;;;;;;;;;;;;;;;;;;
Destination name:;ADC418AI12_DDR8Gb;;;;;;;;;;;;;;;;;;;;
Schematic Doc No.:;A2.C775-6410.7_PCB_BA0_AA_SCMVA;;;;;;;;;;;;;;;;;;;;
Reference;CompID;ReusedComp;ECDM Nomenclature;Value;tolerance;ud_PosTolerance;ud_NegTolerance;Part Name;Part Number NPP;Part Number CSE;Part Number Global;packageName;Variation;VariationItem;Module name;Module reference;Module;Module mode;Module number;Function Code;Component Group
C11000; .cmp733;;C CER,X7R,220nF,10%,50V,0603,-,STANDARD,SMD SOLDERING;220n;;10%;10%;A2C03118700;A2C0311870000;A2C0311870000;A2C0311870000;0603_m01a;;;;;;;;PS_RVP_LM74810_01;
C11001; .cmp753;;C CER,X7S,10uF,10%,50V,1210,-,STANDARD,SMD SOLDERING;10u;;10%;10%;A2C04286300;A2C0428630000;A2C0428630000;A2C0428630000;1210_h2700_c01a;;;;;;;;PS_RVP_LM74810_01;
C11004; .cmp752;;C CER,X7S,10uF,10%,50V,1210,-,STANDARD,SMD SOLDERING;10u;;10%;10%;A2C04286300;A2C0428630000;A2C0428630000;A2C0428630000;1210_h2700_c01a;;;;;;;;PS_RVP_LM74810_01;
C11005; .cmp754;;C CER,X7R,100nF,10%,50V,0603,-,SOFT TERMINATION,SMD SOLDERIN;100n;;10%;10%;A2C02916000;A2C0291600000;A2C0291600000;A2C0291600000;0603_m01a;;;;;;;;PS_KL30_FILTER;
C11006; .cmp759;;C CER,X7R,220nF,10%,50V,0603,-,STANDARD,SMD SOLDERING;220n;;10%;10%;A2C03118700;A2C0311870000;A2C0311870000;A2C0311870000;0603_m01a;;;;;;;;PS_RVP_LM74810_01;
C11007; .cmp758;;C CER,X7R,220nF,10%,50V,0603,-,STANDARD,SMD SOLDERING;220n;;10%;10%;A2C03118700;A2C0311870000;A2C0311870000;A2C0311870000;0603_m01a;;;;;;;;PS_RVP_LM74810_01;
C11008; .cmp697;;C CER,X7R,22nF,10%,50V,0603,-,STANDARD,SMD SOLDERING;22n;;10%;10%;A2C02318600;A2C0231860000;A2C0231860000;A2C0231860000;0603_m01a;;;;;;;;PS_RVP_LM74810_01;
C11009; .cmp691;;C CER,X7R,100nF,10%,50V,0603,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C02318800;A2C0231880000;A2C0231880000;A2C0231880000;0603_m01a;;;;;;;;PS_RVP_LM74810_01;
C11012; .cmp705;;C CER,X7R,22nF,10%,50V,0603,-,STANDARD,SMD SOLDERING;22n;;10%;10%;A2C02318600;A2C0231860000;A2C0231860000;A2C0231860000;0603_m01a;;;;;;;;PS_RVP_LM74810_01;
C11013; .cmp742;;C CER,X7R,220nF,10%,50V,0603,-,STANDARD,SMD SOLDERING;220n;;10%;10%;A2C03118700;A2C0311870000;A2C0311870000;A2C0311870000;0603_m01a;;;;;;;;PS_RVP_LM74810_01;
C11014; .cmp685;;C CER,X7R,10nF,10%,100V,0603,Sn,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C02319000;A2C0231900000;A2C0231900000;A2C0231900000;0603_m01a;;;;;;;;PS_RVP_LM74810_01;
C11016; .cmp743;;C CER,X7R,10nF,10%,100V,0603,Sn,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C02319000;A2C0231900000;A2C0231900000;A2C0231900000;0603_m01a;;;;;;;;PS_RVP_LM74810_01;
C11019; .cmp711;;C CER,X7R,220nF,10%,50V,0603,-,STANDARD,SMD SOLDERING;220n;;10%;10%;A2C03118700;A2C0311870000;A2C0311870000;A2C0311870000;0603_m01a;;;;;;;;PS_RVP_LM74810_01;
C11023; .cmp137;;C CER,X7S,0.00001 F,10%,50 V,EC_1210,,SOFT TERMINATION,SMD S;10u;;10%;10%;AAA2093820000;AAA2093820000;AAA2093820000;AAA2093820000;1210_h2800_c01a;;;;;;;;PS_KL30_FILTER;
C11024; .cmp157;;C CER,X7S,0.00001 F,10%,50 V,EC_1210,,SOFT TERMINATION,SMD S;10u;;10%;10%;AAA2093820000;AAA2093820000;AAA2093820000;AAA2093820000;1210_h2800_c01a;;;;;;;;PS_KL30_FILTER;
C11025; .cmp111;;C CER,X7S,0.00001 F,10%,50 V,EC_1210,,SOFT TERMINATION,SMD S;10u;;10%;10%;AAA2093820000;AAA2093820000;AAA2093820000;AAA2093820000;1210_h2800_c01a;;;;;;;;PS_KL30_FILTER;
C11026; .cmp136;;C CER,X7R,100nF,10%,50V,0603,-,SOFT TERMINATION,SMD SOLDERIN;100n;;10%;10%;A2C02916000;A2C0291600000;A2C0291600000;A2C0291600000;0603_m01a;;;;;;;;PS_KL30_FILTER;
C11027; .cmp104;;C CER,X7S,0.00001 F,10%,50 V,EC_1210,,SOFT TERMINATION,SMD S;10u;;10%;10%;AAA2093820000;AAA2093820000;AAA2093820000;AAA2093820000;1210_h2800_c01a;;;;;;;;PS_KL30_FILTER;
C11028; .cmp180;;C CER,X7R,100nF,10%,50V,0603,-,SOFT TERMINATION,SMD SOLDERIN;100n;;10%;10%;A2C02916000;A2C0291600000;A2C0291600000;A2C0291600000;0603_m01a;;;;;;;;PS_KL30_FILTER;
C11029; .cmp155;;C CER,X7S,0.00001 F,10%,50 V,EC_1210,,SOFT TERMINATION,SMD S;10u;;10%;10%;AAA2093820000;AAA2093820000;AAA2093820000;AAA2093820000;1210_h2800_c01a;;;;;;;;PS_KL30_FILTER;
C11030; .cmp153;;C CER,X7R,47nF,10%,50V,0603,-,SOFT TERMINATION;47n;;10%;10%;A2C01055500;A2C0105550000;A2C0105550000;A2C0105550000;0603_m01a;;;;;;;;PS_KL30_FILTER;
C11031; .cmp287;;C CER,X7R,100nF,10%,50V,0603,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C02318800;A2C0231880000;A2C0231880000;A2C0231880000;0603_m01a;;;;;;;;PS_INH_SHDN;
C11032; .cmp745;;C CER,X7R,220nF,10%,50V,0603,-,STANDARD,SMD SOLDERING;220n;;10%;10%;A2C03118700;A2C0311870000;A2C0311870000;A2C0311870000;0603_m01a;;;;;;;;PS_RVP_LM74810_01;
C12006; .cmp165;;C CER,X7R,10nF,10%,100V,0603,Sn,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C02319000;A2C0231900000;A2C0231900000;A2C0231900000;0603_m01a;;;;;;;;PS_UV_DET_NCV33161_1;CHANGE
C12015; .cmp245;;C CER,X7R,1nF,10%,100V,0603,Sn;1n;;10%;10%;A2C40002639;A2C4000263900;A2C4000263900;A2C4000263900;0603_m01a;;;;;;;;PS_ISENSE_INA302_1;
C12017; .cmp78;;C CER,X7R,100nF,10%,16V,0402,-,SOFT TERMINATION;100n;;10%;10%;A2C01479600;A2C0147960000;A2C0147960000;A2C0147960000;0402_06_m01a;;;;;;;;PS_UV_DET_NCV33161_1;CHANGE
C12028; .cmp1122;;C CER,X7R,100nF,10%,16V,0402,-,SOFT TERMINATION;100n;;10%;10%;A2C01479600;A2C0147960000;A2C0147960000;A2C0147960000;0402_06_m01a;;;;;;;;IPC_DROPBUFFER_20MS_15A;
C12030; .cmp867;;C CER,X7R,10nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03176600;A2C0317660000;A2C0317660000;A2C0317660000;0402_06_m01a;;;;;;;;IPC_DROPBUFFER_20MS_15A;
C12031; .cmp878;;C CER,X7R,100nF,10%,50V,0603,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C02318800;A2C0231880000;A2C0231880000;A2C0231880000;0603_m01a;;;;;;;;IPC_DROPBUFFER_20MS_15A;
C12032; .cmp834;;C CER,X7R,100nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03118800;A2C0311880000;A2C0311880000;A2C0311880000;0402_06_m01a;;;;;;;;IPC_DROPBUFFER_20MS_15A;
C12033; .cmp868;;C CER,X7R,100nF,10%,100V,0603,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03588400;A2C0358840000;A2C0358840000;A2C0358840000;0603_m01a;;;;;;;;IPC_DROPBUFFER_20MS_15A;
C12034; .cmp904;;C CER,X7R,100nF,10%,50V,0603,-,SOFT TERMINATION,SMD SOLDERIN;100n;;10%;10%;A2C02916000;A2C0291600000;A2C0291600000;A2C0291600000;0603_m01a;;;;;;;;IPC_DROPBUFFER_20MS_15A;
C12037; .cmp880;;C CER,X7R,100nF,10%,50V,0603,-,SOFT TERMINATION,SMD SOLDERIN;100n;;10%;10%;A2C02916000;A2C0291600000;A2C0291600000;A2C0291600000;0603_m01a;;;;;;;;IPC_DROPBUFFER_20MS_15A;
C12038; .cmp821;;C ELEC,AL,0.0016 F,20%,35.0 V,SMD SOLDERING;1.6m;;20%;20%;A2C03379100;A2C0337910000;A2C0337910000;A2C0337910000;ecr16h22_hold_s01a;;;;;;;;IPC_DROPBUFFER_20MS_15A;
C12050; .cmp844;;C CER,X7R,100nF,10%,100V,0603,-,STANDARD,SMD SOLDERING;100n;;10%;10%;A2C03588400;A2C0358840000;A2C0358840000;A2C0358840000;0603_m01a;;;;;;;;IPC_DROPBUFFER_20MS_15A;
C12059; .cmp1169;;C CER,X7R,220nF,5%,25V,C0805,Sn;220n;;5%;5%;A2C40006643;A2C4000664300;A2C4000664300;A2C4000664300;0805_145_m01a;;;;;;;;IPC_DROPBUFFER_20MS_15A;
C12060; .cmp1138;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IPC_DROPBUFFER_20MS_15A;
