# Assembly Part List incl. Component Properties
#
# Date = 2021/09/13 09:44:12
# Job Name =C:\CAx\Prj\ZUKEN\41538289_AG_ADC418AI12\job\bd\job.dsgn
# Units = millimeters
# Decimal Digits =3
#
# PCB/PNL Type;Offset-X;Offset-Y;Rotation
#
# NA;0.000;0.000;0.000
#
# Reference;Part_Name;Value;Tolerance;Pos_Tolerance;Neg_Tolerance;Geometry;Rated_Voltage;Technology;Placement_Side;Rotation;Position-X;Positon-Y;Pin_Count;Component_Height_on_Placement_Side;Part_Families;Mounting_Type;Footprint_Specification;Package_Type;Function_Code;EMC_Code;Board# on Panel;Part_Name_SV;Part_Name_CAS;Exclude_from_SAP_BOM;Multipitch_Pair;
AS1;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;A_SIDE;0.000;189.000;80.000;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;FIDUCIALS;NO;NA;NA;NA;NA;NA;
AS2;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;A_SIDE;0.000;-2.000;-18.000;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;FIDUCIALS;NO;NA;NA;NA;NA;NA;
AS3;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;A_SIDE;0.000;-5.000;80.000;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;FIDUCIALS;NO;NA;NA;NA;NA;NA;
AS11;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;B_SIDE;0.000;-2.000;-18.000;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;FIDUCIALS;NO;NA;NA;NA;NA;NA;
AS12;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;B_SIDE;0.000;-5.000;80.000;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;FIDUCIALS;NO;NA;NA;NA;NA;NA;
AS13;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;B_SIDE;0.000;189.000;80.000;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;FIDUCIALS;NO;NA;NA;NA;NA;NA;
AS0020;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;A_SIDE;0.000;88.000;-56.800;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;FIDUCIALS;NO;NA;NA;NA;NA;NA;
AS0021;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;B_SIDE;0.000;88.000;-56.800;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;FIDUCIALS;NO;NA;NA;NA;NA;NA;
AS0022;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;A_SIDE;0.000;88.000;-60.800;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;FIDUCIALS;NO;NA;NA;NA;NA;NA;
AS0023;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;B_SIDE;0.000;88.000;-60.800;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;FIDUCIALS;NO;NA;NA;NA;NA;NA;
AS0024;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;A_SIDE;0.000;88.000;-64.800;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;FIDUCIALS;NO;NA;NA;NA;NA;NA;
AS0025;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;B_SIDE;0.000;88.000;-64.800;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;FIDUCIALS;NO;NA;NA;NA;NA;NA;
AS0026;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;A_SIDE;0.000;88.000;-68.800;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;FIDUCIALS;NO;NA;NA;NA;NA;NA;
AS0027;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;B_SIDE;0.000;88.000;-68.800;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;FIDUCIALS;NO;NA;NA;NA;NA;NA;
C11000;A2C03118700;220n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;90.000;154.250;8.895;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_RVP_LM74810_01;NO;NA;A2C0311870000;A2C0311870000;NA;NA;
C11001;A2C04286300;10u;NA;10%;10%;1210_h2700_c01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;180.000;156.700;7.500;2;2.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_RVP_LM74810_01;NO;NA;A2C0428630000;A2C0428630000;NA;NA;
C11004;A2C04286300;10u;NA;10%;10%;1210_h2700_c01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;270.000;152.525;5.875;2;2.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_RVP_LM74810_01;NO;NA;A2C0428630000;A2C0428630000;NA;NA;
C11005;A2C02916000;100n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;180.750;26.600;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_KL30_FILTER;NO;NA;A2C0291600000;A2C0291600000;NA;NA;
C11006;A2C03118700;220n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;0.000;170.500;13.350;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_RVP_LM74810_01;NO;NA;A2C0311870000;A2C0311870000;NA;NA;
C11007;A2C03118700;220n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;168.450;12.625;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_RVP_LM74810_01;NO;NA;A2C0311870000;A2C0311870000;NA;NA;
C11008;A2C02318600;22n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;0.000;158.475;11.975;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_RVP_LM74810_01;NO;NA;A2C0231860000;A2C0231860000;NA;NA;
C11009;A2C02318800;100n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;270.000;172.950;14.075;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_RVP_LM74810_01;NO;NA;A2C0231880000;A2C0231880000;NA;NA;
