JTAG;SvfType;Device;PinNumber;DeviceType;NetName;ControlState;ExpectedState;Test
MX6RT1170;UnknownControl;TP828;A2;TestPoint;Red_PWM_1_Main_Schematic;Output, Output;High, Low;Interconnection
MX6RT1170;UnknownInput;TP828;A2;TestPoint;Red_PWM_1_Main_Schematic;Input, Input;High, Low;Interconnection
MX6RT1170;UnknownControl;R810;A2;Resistor;Red_PWM_1_Main_Schematic;Output, Output;High, Low;Interconnection
MX6RT1170;UnknownInput;R810;A2;Resistor;Red_PWM_1_Main_Schematic;Input, Input;High, Low;Interconnection
MX6RT1170;UnknownControl;TP827;A3;TestPoint;Green_PWM_1_Main_Schematic;Output, Output;High, Low;Interconnection
MX6RT1170;UnknownInput;TP827;A3;TestPoint;Green_PWM_1_Main_Schematic;Input, Input;High, Low;Interconnection
MX6RT1170;UnknownControl;R809;A3;Resistor;Green_PWM_1_Main_Schematic;Output, Output;High, Low;Interconnection
MX6RT1170;UnknownInput;R809;A3;Resistor;Green_PWM_1_Main_Schematic;Input, Input;High, Low;Interconnection
MX6RT1170;Pullup;R900;A4;Resistor;MIPI_RESET;Input, Output;High, Low;Interconnection
MX6RT1170;Pulldown;R402;B15;Resistor;FES_Rotation_2_Main_Schematic;Input, Output;Low, High;Interconnection
MX6RT1170;Pulldown;R401;B16;Resistor;FES_Rotation_1_Main_Schematic;Input, Output;Low, High;Interconnection
MX6RT1170;UnknownControl;TP829;B2;TestPoint;Blue_PWM_1_Main_Schematic;Output, Output;High, Low;Interconnection
MX6RT1170;UnknownInput;TP829;B2;TestPoint;Blue_PWM_1_Main_Schematic;Input, Input;High, Low;Interconnection
MX6RT1170;UnknownControl;R811;B2;Resistor;Blue_PWM_1_Main_Schematic;Output, Output;High, Low;Interconnection
MX6RT1170;UnknownInput;R811;B2;Resistor;Blue_PWM_1_Main_Schematic;Input, Input;High, Low;Interconnection
MX6RT1170;UnknownControl;TP835;B3;TestPoint;Blue_PWM_3_Main_Schematic;Output, Output;High, Low;Interconnection
MX6RT1170;UnknownInput;TP835;B3;TestPoint;Blue_PWM_3_Main_Schematic;Input, Input;High, Low;Interconnection
MX6RT1170;UnknownControl;R813;B3;Resistor;Blue_PWM_3_Main_Schematic;Output, Output;High, Low;Interconnection
MX6RT1170;UnknownInput;R813;B3;Resistor;Blue_PWM_3_Main_Schematic;Input, Input;High, Low;Interconnection
