# Assembly Part List incl. Component Properties
#
# Date = 2021/10/07 17:08:02
# Job Name =C:\CAx\Prj\ZUKEN\41882596_AA_Scania_CooX\job\PNL\Panel02\Panel02.mdgn
# Units = millimeters
# Decimal Digits =3
#
# PCB/PNL Type;Offset-X;Offset-Y;Rotation
#
# NA;0.000;0.000;0.000
# board1;0.000;9.000;0.000
# board2;164.000;9.000;0.000
#
#
#
# Reference;Part_Name;Value;Tolerance;Pos_Tolerance;Neg_Tolerance;Geometry;Rated_Voltage;Technology;Placement_Side;Rotation;Position-X;Positon-Y;Pin_Count;Component_Height_on_Placement_Side;Part_Families;Mounting_Type;Footprint_Specification;Package_Type;Function_Code;EMC_Code;Board# on Panel;Part_Name_SV;Part_Name_CAS;Exclude_from_SAP_BOM;Multipitch_Pair;
AS1;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;A_SIDE;180.000;153.000;67.000;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;NA;NO;board1;NA;NA;NA;NA;
AS1;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;A_SIDE;180.000;317.000;67.000;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;NA;NO;board2;NA;NA;NA;NA;
AS2;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;A_SIDE;180.000;153.000;179.000;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;NA;NO;board1;NA;NA;NA;NA;
AS2;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;A_SIDE;180.000;317.000;179.000;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;NA;NO;board2;NA;NA;NA;NA;
AS3;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;A_SIDE;180.000;7.000;180.000;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;NA;NO;board1;NA;NA;NA;NA;
AS3;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;A_SIDE;180.000;171.000;180.000;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;NA;NO;board2;NA;NA;NA;NA;
AS11;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;B_SIDE;180.000;153.000;179.000;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;NA;NO;board1;NA;NA;NA;NA;
AS11;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;B_SIDE;180.000;317.000;179.000;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;NA;NO;board2;NA;NA;NA;NA;
AS12;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;B_SIDE;180.000;153.000;67.000;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;NA;NO;board1;NA;NA;NA;NA;
AS12;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;B_SIDE;180.000;317.000;67.000;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;NA;NO;board2;NA;NA;NA;NA;
AS13;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;B_SIDE;180.000;7.000;180.000;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;NA;NO;board1;NA;NA;NA;NA;
AS13;spec_fiducial_diamond1520x1520_sm3600;FIDUCIAL_DIAMOND_1520x1520;NA;NA;NA;spec_fiducial_diamond1520x1520_sm3600_s01a;NA;SBU08_RR_SM075_Cu35;B_SIDE;180.000;171.000;180.000;0;0.000;Fiducial;SURFACE;spec_Cu035;SMD_OTHER;NA;NO;board2;NA;NA;NA;NA;
C2016;A2C40006904;470p;NA;5%;5%;0603_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;153.750;171.500;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PCB_Housing_Coupling_AC_Ground;NO;board1;A2C4000690400;A2C4000690400;NA;NA;
C2016;A2C40006904;470p;NA;5%;5%;0603_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;317.750;171.500;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PCB_Housing_Coupling_AC_Ground;NO;board2;A2C4000690400;A2C4000690400;NA;NA;
C2017;A2C01917000;33p;NA;5%;5%;0603_m01a;100V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;153.750;170.150;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PCB_Housing_Coupling_AC_Ground;NO;board1;A2C0191700000;A2C0191700000;NA;NA;
C2017;A2C01917000;33p;NA;5%;5%;0603_m01a;100V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;317.750;170.150;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PCB_Housing_Coupling_AC_Ground;NO;board2;A2C0191700000;A2C0191700000;NA;NA;
C2018;A2C02172000;100n;NA;10%;10%;0603_m01a;100V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;153.750;172.850;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PCB_Housing_Coupling_AC_Ground;NO;board1;A2C0217200000;A2C0217200000;NA;NA;
C2018;A2C02172000;100n;NA;10%;10%;0603_m01a;100V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;317.750;172.850;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PCB_Housing_Coupling_AC_Ground;NO;board2;A2C0217200000;A2C0217200000;NA;NA;
C2019;A2C04286300;10u;NA;10%;10%;1210_h2700_c01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;152.750;175.250;2;2.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PCB_Housing_Coupling_AC_Ground;NO;board1;A2C0428630000;A2C0428630000;NA;NA;
C2019;A2C04286300;10u;NA;10%;10%;1210_h2700_c01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;316.750;175.250;2;2.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PCB_Housing_Coupling_AC_Ground;NO;board2;A2C0428630000;A2C0428630000;NA;NA;
C2020;A2C40006904;470p;NA;5%;5%;0603_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;90.000;62.300;59.550;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PCB_Housing_Coupling_AC_Ground;NO;board1;A2C4000690400;A2C4000690400;NA;NA;
C2020;A2C40006904;470p;NA;5%;5%;0603_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;90.000;226.300;59.550;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PCB_Housing_Coupling_AC_Ground;NO;board2;A2C4000690400;A2C4000690400;NA;NA;
C2021;A2C01917000;33p;NA;5%;5%;0603_m01a;100V;SBU08_RR_SM075_Cu35;A_SIDE;90.000;63.800;59.550;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PCB_Housing_Coupling_AC_Ground;NO;board1;A2C0191700000;A2C0191700000;NA;NA;
C2021;A2C01917000;33p;NA;5%;5%;0603_m01a;100V;SBU08_RR_SM075_Cu35;A_SIDE;90.000;227.800;59.550;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PCB_Housing_Coupling_AC_Ground;NO;board2;A2C0191700000;A2C0191700000;NA;NA;
C2022;A2C02172000;100n;NA;10%;10%;0603_m01a;100V;SBU08_RR_SM075_Cu35;A_SIDE;90.000;70.450;59.750;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PCB_Housing_Coupling_AC_Ground;NO;board1;A2C0217200000;A2C0217200000;NA;NA;
C2022;A2C02172000;100n;NA;10%;10%;0603_m01a;100V;SBU08_RR_SM075_Cu35;A_SIDE;90.000;234.450;59.750;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PCB_Housing_Coupling_AC_Ground;NO;board2;A2C0217200000;A2C0217200000;NA;NA;
C2023;A2C04286300;10u;NA;10%;10%;1210_h2700_c01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;67.150;59.550;2;2.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PCB_Housing_Coupling_AC_Ground;NO;board1;A2C0428630000;A2C0428630000;NA;NA;
C2023;A2C04286300;10u;NA;10%;10%;1210_h2700_c01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;231.150;59.550;2;2.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PCB_Housing_Coupling_AC_Ground;NO;board2;A2C0428630000;A2C0428630000;NA;NA;
