JTAG;SvfType;Device;PinNumber;DeviceType;NetName;ControlState;ExpectedState;Test
S32G275A;PullupPulldown;R41042;W11;Resistor;BMODE2_SMH;Input, Output;High, Low;Interconnection
S32G275A;PullupPulldown;R41042;W11;Resistor;BMODE2_SMH;Input, Output;Low, High;Interconnection
S32G275A;PullupPulldown;R41040;W10;Resistor;BMODE1_SMH;Input, Output;High, Low;Interconnection
S32G275A;PullupPulldown;R41040;W10;Resistor;BMODE1_SMH;Input, Output;Low, High;Interconnection
S32G275A;Pulldown;R41119;V17;Resistor;I2C3_SOM2_MMH_SMH_:SCL;Input, Output;Low, High;Interconnection
S32G275A;Pulldown;R21000;E12;Resistor;EN_SMH_CAN1;Input, Output;Low, High;Interconnection
S32G275A;Pulldown;R21015;A11;Resistor;N_STB_SMH_CAN1;Input, Output;Low, High;Interconnection
S32G275A;Pulldown;R41120;Y21;Resistor;I2C3_SOM2_MMH_SMH_:SDA;Input, Output;Low, High;Interconnection
S32G275A;Pulldown;R41171;V21;Resistor;PWM_SMH_AMUX;Input, Output;Low, High;Interconnection
S32G275A;Pulldown;R41101;D19;Resistor;EMMC_SMH_:DS;Input, Output;Low, High;Interconnection
S32G275A;Pulldown;R41056;T19;Resistor;SC_SMH_SI_MUX;Input, Output;Low, High;Interconnection
S32G275A;Pulldown;R41055;U19;Resistor;SA_SMH_SI_MUX;Input, Output;Low, High;Interconnection
S32G275A;Pulldown;R41053;U18;Resistor;SB_SMH_SI_MUX;Input, Output;Low, High;Interconnection
S32G275A;PullupPulldown;R22080;L22;Resistor;N_RESET_SMH_P_ETH_SW1;Input, Output;High, Low;Interconnection
S32G275A;PullupPulldown;R22080;L22;Resistor;N_RESET_SMH_P_ETH_SW1;Input, Output;Low, High;Interconnection
S32G275A;Pulldown;R12073;A15;Resistor;KL30_FILTER_UV;Input, Output;Low, High;Interconnection
S32G275A;Pulldown;R41098;D10;Resistor;N_PERST_SMH_DBG;Input, Output;Low, High;Interconnection
S32G275A;Pulldown;R41066;F16;Resistor;LLCE_CAN4_SMH_:RXD;Input, Output;Low, High;Interconnection
