JTAG;SvfType;Device;PinNumber;DeviceType;NetName;ControlState;ExpectedState;Test
s32k142;Pulldown;R3005;84;Resistor;RPP_31_MON_AI;Input, Output;Low, High;Interconnection
s32k142;Pulldown;R3027;85;Resistor;MPWR30_MON_AI;Input, Output;Low, High;Interconnection
s32k142;Pulldown;RN22011;32;Resistor;DIG_IN_G22_DI;Input, Output;Low, High;Interconnection
s32k142;Pulldown;RN22011;33;Resistor;DIG_IN_G21_DI;Input, Output;Low, High;Interconnection
s32k142;PullupPulldown;R18006;29;Resistor;5V_OUT_A2_AI;Input, Output;High, Low;Interconnection
s32k142;PullupPulldown;R18006;29;Resistor;5V_OUT_A2_AI;Input, Output;Low, High;Interconnection
s32k142;Pulldown;RN22004;62;Resistor;DIG_IN_G7_DI;Input, Output;Low, High;Interconnection
s32k142;Pulldown;RN22004;28;Resistor;DIG_IN_G8_DI;Input, Output;Low, High;Interconnection
s32k142;Pulldown;RN22008;55;Resistor;DIG_IN_G16_DI;Input, Output;Low, High;Interconnection
s32k142;Pulldown;RN22008;56;Resistor;DIG_IN_G15_DI;Input, Output;Low, High;Interconnection
s32k142;Pulldown;RN22008;63;Resistor;DIG_IN_G14_DI;Input, Output;Low, High;Interconnection
s32k142;PullupPulldown;R18015;44;Resistor;5V_OUT_A7_AI;Input, Output;High, Low;Interconnection
s32k142;PullupPulldown;R18015;44;Resistor;5V_OUT_A7_AI;Input, Output;Low, High;Interconnection
s32k142;PullupPulldown;R18014;45;Resistor;5V_OUT_A6_AI;Input, Output;High, Low;Interconnection
s32k142;PullupPulldown;R18014;45;Resistor;5V_OUT_A6_AI;Input, Output;Low, High;Interconnection
s32k142;PullupPulldown;R18009;46;Resistor;5V_OUT_A5_AI;Input, Output;High, Low;Interconnection
s32k142;PullupPulldown;R18009;46;Resistor;5V_OUT_A5_AI;Input, Output;Low, High;Interconnection
s32k142;Pulldown;RN22005;76;Resistor;DIG_IN_G11_DI;Input, Output;Low, High;Interconnection
s32k142;Pulldown;RN22005;77;Resistor;DIG_IN_G10_DI;Input, Output;Low, High;Interconnection
s32k142;Pulldown;RN22009;50;Resistor;DIG_IN_G19_DI;Input, Output;Low, High;Interconnection
s32k142;Pulldown;RN22009;49;Resistor;DIG_IN_G20_DI;Input, Output;Low, High;Interconnection
s32k142;Pulldown;RN22003;91;Resistor;DIG_IN_G3_DI;Input, Output;Low, High;Interconnection
