StepName;LayerName;ObjectCount
stp;COMP_+_TOP;91
stp;SPT;808
stp;SMT;827
stp;TOP;1430
stp;DIELECTRIC_1;0
stp;INT1;1340
stp;DIELECTRIC_2;0
stp;INT2;1050
stp;DIELECTRIC_3;0
stp;INT3;752
stp;DIELECTRIC_4;0
stp;INT4;764
stp;DIELECTRIC_5;0
stp;INT5;1050
stp;DIELECTRIC_6;0
stp;INT6;1849
stp;DIELECTRIC_7;0
stp;BOTTOM;1938
stp;SMB;1018
stp;SPB;933
stp;ROUT;26
stp;OUTLINE;55
stp;COMP_+_BOT;148
stp;DRILL;39
stp;D_INT1_INT6;289
stp;D_INT6_BOTTOM;382
stp;D_TOP_INT1;269
stp;FVIA_T.GER;645
stp;FVIA_B.GER;641
stp;HEIGHT_BOT;1
